Text,Image,Folio
urn:cts:greekLit:tlg5026.msAext.hmt:15.4,"urn:cite:hmt:compimg.Comparetti_192recto205@0.766,0.2653,0.055,0.018",urn:cite:hmt:msA.192r
urn:cts:greekLit:tlg5026.msAext.hmt:15.5,"urn:cite:hmt:compimg.Comparetti_192recto205@0.784,0.3533,0.043,0.0187",urn:cite:hmt:msA.192r
urn:cts:greekLit:tlg5026.msAext.hmt:15.10,"urn:cite:hmt:compimg.Comparetti_195recto208@0.772,0.3147,0.052,0.024",urn:cite:hmt:msA.195r
urn:cts:greekLit:tlg5026.msAext.hmt:15.13,"urn:cite:hmt:compimg.Comparetti_197recto210@0.794,0.336,0.04,0.0247",urn:cite:hmt:msA.197r
urn:cts:greekLit:tlg5026.msAext.hmt:15.14,"urn:cite:hmt:compimg.Comparetti_197recto210@0.782,0.3547,0.04,0.0247",urn:cite:hmt:msA.197r
urn:cts:greekLit:tlg5026.msAext.hmt:15.20,"urn:cite:hmt:compimg.Comparetti_203verso212@0.116,0.462,0.04,0.02",urn:cite:hmt:msA.203v
urn:cts:greekLit:tlg5026.msAext.hmt:15.23,"urn:cite:hmt:compimg.Comparetti_205recto218@0.796,0.1947,0.074,0.04",urn:cite:hmt:msA.205r
