Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:15.37,"urn:cite:hmt:vaimg.VA191VN-0693@0.474,0.4433,0.425,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:15.38,"urn:cite:hmt:vaimg.VA191VN-0693@0.476,0.4636,0.425,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:15.39,"urn:cite:hmt:vaimg.VA191VN-0693@0.474,0.4808,0.425,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:15.40,"urn:cite:hmt:vaimg.VA191VN-0693@0.478,0.5004,0.439,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:15.41,"urn:cite:hmt:vaimg.VA191VN-0693@0.48,0.5192,0.383,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:15.42,"urn:cite:hmt:vaimg.VA191VN-0693@0.477,0.5357,0.42,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:15.43,"urn:cite:hmt:vaimg.VA191VN-0693@0.478,0.5575,0.406,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:15.44,"urn:cite:hmt:vaimg.VA191VN-0693@0.482,0.577,0.418,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:15.45,"urn:cite:hmt:vaimg.VA191VN-0693@0.48,0.5928,0.396,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:15.46,"urn:cite:hmt:vaimg.VA191VN-0693@0.481,0.6138,0.422,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:15.47,"urn:cite:hmt:vaimg.VA191VN-0693@0.476,0.6326,0.425,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:15.48,"urn:cite:hmt:vaimg.VA191VN-0693@0.481,0.6484,0.436,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:15.49,"urn:cite:hmt:vaimg.VA191VN-0693@0.48,0.6657,0.392,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:15.50,"urn:cite:hmt:vaimg.VA191VN-0693@0.476,0.6875,0.443,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:15.51,"urn:cite:hmt:vaimg.VA192RN-0363@0.185,0.2194,0.398,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:15.52,"urn:cite:hmt:vaimg.VA192RN-0363@0.183,0.2367,0.398,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:15.53,"urn:cite:hmt:vaimg.VA192RN-0363@0.187,0.2532,0.376,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:15.54,"urn:cite:hmt:vaimg.VA192RN-0363@0.185,0.2735,0.376,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:15.55,"urn:cite:hmt:vaimg.VA192RN-0363@0.182,0.2908,0.395,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:15.56,"urn:cite:hmt:vaimg.VA192RN-0363@0.185,0.3088,0.395,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:15.57,"urn:cite:hmt:vaimg.VA192RN-0363@0.189,0.3283,0.357,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:15.58,"urn:cite:hmt:vaimg.VA192RN-0363@0.191,0.3501,0.426,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:15.59,"urn:cite:hmt:vaimg.VA192RN-0363@0.191,0.3659,0.426,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.60,"urn:cite:hmt:vaimg.VA192RN-0363@0.192,0.3869,0.413,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.61,"urn:cite:hmt:vaimg.VA192RN-0363@0.188,0.4065,0.413,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.62,"urn:cite:hmt:vaimg.VA192RN-0363@0.187,0.423,0.417,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.63,"urn:cite:hmt:vaimg.VA192RN-0363@0.186,0.441,0.366,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.64,"urn:cite:hmt:vaimg.VA192RN-0363@0.186,0.4613,0.384,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.65,"urn:cite:hmt:vaimg.VA192RN-0363@0.186,0.4801,0.401,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.66,"urn:cite:hmt:vaimg.VA192RN-0363@0.186,0.4989,0.389,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.67,"urn:cite:hmt:vaimg.VA192RN-0363@0.189,0.5184,0.408,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.68,"urn:cite:hmt:vaimg.VA192RN-0363@0.187,0.5387,0.434,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.69,"urn:cite:hmt:vaimg.VA192RN-0363@0.183,0.5552,0.404,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:15.70,"urn:cite:hmt:vaimg.VA192RN-0363@0.184,0.5755,0.404,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:15.71,"urn:cite:hmt:vaimg.VA192RN-0363@0.182,0.5935,0.384,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.72,"urn:cite:hmt:vaimg.VA192RN-0363@0.181,0.6123,0.394,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:15.73,"urn:cite:hmt:vaimg.VA192RN-0363@0.179,0.6334,0.416,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:15.74,"urn:cite:hmt:vaimg.VA192RN-0363@0.177,0.6521,0.385,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:15.75,"urn:cite:hmt:vaimg.VA192RN-0363@0.174,0.6702,0.414,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:15.76,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.77,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.78,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.79,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.80,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.81,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.82,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.83,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.84,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.85,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.86,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.87,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.88,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.89,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.90,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.91,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.92,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.93,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.94,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.95,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.96,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.97,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.99,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.99,""
urn:cts:greekLit:tlg0012.tlg001.msA:15.100,""
